#,PR,PR_Link,Main_Category,Subcategory,Evidence,Explanation,Label,Status
16,terminal-bench/pull/432,https://github.com/laude-institute/terminal-bench/pull/432,QUALITY,Internal quality attribute,do all the helper methods need to be async? For example do we spin up a whole new process when we run _get_user?,"The reviewer questions whether making all helper methods async is necessary, raising a concern about the internal design quality and potential overhead of the refactoring approach.",rejected,Rejected
17,onyx/pull/3925,https://github.com/onyx-dot-app/onyx/pull/3925,MANAGEMENT,No review activity,No reviewer comments provided (None),There are no human reviewer comments with substantive critique. Both reviewer entries show 'None'.,rejected,Rejected
18,box-ui-elements/pull/3910,https://github.com/box/box-ui-elements/pull/3910,MANAGEMENT,No review activity,No reviewer comments provided (None),There are no human reviewer comments present — both reviewers left no substantive feedback.,rejected,Rejected
19,cal.com/pull/21404,https://github.com/calcom/cal.com/pull/21404,MANAGEMENT,No review activity,@Udit-takkar had a coupl,The reviewer comment appears to be incomplete/truncated with no substantive critique or feedback provided.,rejected,Rejected
20,agent/pull/120,https://github.com/appdotbuild/agent/pull/120,MANAGEMENT,No review activity,No reviewer comments present,There are no human reviewer comments in this PR — the only reviewer listed (@keugenek) provided no comments.,rejected,Rejected
21,cal.com/pull/21183,https://github.com/calcom/cal.com/pull/21183,MANAGEMENT,No review activity,Both reviewer comments are null/None with no substantive content.,"There are no human reviewer comments with any substantive critique. Both comments from @TusharBhatt1 are null/empty, indicating no review activity.",rejected,Rejected
22,airbyte/pull/63378,https://github.com/airbytehq/airbyte/pull/63378,MANAGEMENT,No review activity,@aaronsteers: None,"There are no human reviewer comments with substantive critique. The only reviewer entry is 'None', indicating no review activity was performed.",rejected,Rejected
23,cal.com/pull/21225,https://github.com/calcom/cal.com/pull/21225,MANAGEMENT,No review activity,Both reviewers (@TusharBhatt1) provided no comments (None).,"There are no substantive reviewer comments — both review entries are null/empty, indicating no review activity took place.",rejected,Rejected
24,box-ui-elements/pull/3959,https://github.com/box/box-ui-elements/pull/3959,MANAGEMENT,No review activity,Both reviewers (@tjuanitas) left no comments.,"There are no substantive reviewer comments — both review entries are None, indicating no review activity was performed.",rejected,Rejected
25,box-ui-elements/pull/3960,https://github.com/box/box-ui-elements/pull/3960,MANAGEMENT,No review activity,All reviewer comments are None,"There are no substantive reviewer comments. All comments from @tjuanitas are null/empty, indicating no review activity took place.",rejected,Rejected
26,box-ui-elements/pull/3961,https://github.com/box/box-ui-elements/pull/3961,MANAGEMENT,No review activity,All reviewer comments are None (no substantive comments provided by @tjuanitas across all 9 review interactions).,"There are no human reviewer comments with any substantive critique — all recorded reviewer comments are null/empty, indicating no meaningful review activity took place.",rejected,Rejected
27,box-ui-elements/pull/3962,https://github.com/box/box-ui-elements/pull/3962,MANAGEMENT,No review activity,All three reviewer comments from @tjuanitas are None (no substantive content).,"There are no human reviewer comments with any substantive critique. All reviewer entries are null/empty, indicating no review activity.",rejected,Rejected
28,box-ui-elements/pull/3963,https://github.com/box/box-ui-elements/pull/3963,MANAGEMENT,No review activity,No reviewer comments provided (None),"There are no substantive reviewer comments — both reviewer entries are None, indicating no review activity took place.",rejected,Rejected
29,box-ui-elements/pull/3967,https://github.com/box/box-ui-elements/pull/3967,MANAGEMENT,No review activity,All reviewer comments are None,"There are no substantive reviewer comments — all comments are null/empty, indicating no meaningful review activity took place.",rejected,Rejected
30,box-ui-elements/pull/3968,https://github.com/box/box-ui-elements/pull/3968,MANAGEMENT,No review activity,All reviewer comments are None (no substantive content provided),"There are no human reviewer comments with any substantive critique. All recorded comments are null/empty, indicating no meaningful review activity took place.",rejected,Rejected
31,box-ui-elements/pull/3948,https://github.com/box/box-ui-elements/pull/3948,MANAGEMENT,No review activity,No reviewer comments provided (both reviewers left no comments),There are no human reviewer comments on this PR — both reviewers left no substantive feedback.,rejected,Rejected
32,box-ui-elements/pull/3950,https://github.com/box/box-ui-elements/pull/3950,MANAGEMENT,No review activity,No reviewer comments found (both reviewers provided no comments),"There are no human reviewer comments. Both reviewers left no comments whatsoever, triggering the 'No review activity' classification.",rejected,Rejected
33,cal.com/pull/21262,https://github.com/calcom/cal.com/pull/21262,OBJECTIVE,Potential side effect,"We have type checks failing , though I have updated the branch , are you sure it's not due to this PR changes","The reviewer is questioning whether the refactoring (replacing Prisma query with raw SQL) introduced type check failures, indicating concern about unintended side effects from the refactoring changes.",rejected,Rejected
34,cal.com/pull/20706,https://github.com/calcom/cal.com/pull/20706,MANAGEMENT,No review activity,All reviewer comments are null/None with no substantive critique provided.,"There are no human reviewer comments with any content — all comments from @keithwillcode are null/None, indicating no substantive review activity took place.",rejected,Rejected
35,php-leveldb/pull/54,https://github.com/reeze/php-leveldb/pull/54,MANAGEMENT,No review activity,No reviewer comments present,"There are no human reviewer comments — both reviewer entries are None, indicating no substantive review activity occurred.",rejected,Rejected
36,liam/pull/1380,https://github.com/liam-hq/liam/pull/1380,MANAGEMENT,No review activity,All reviewer comments are None,"There are no human reviewer comments present — all comment slots are empty (None), indicating no review activity occurred.",rejected,Rejected
37,airbyte-connectors/pull/2143,https://github.com/faros-ai/airbyte-connectors/pull/2143,MANAGEMENT,No review activity,All reviewer comments are None,"There are no substantive reviewer comments. All comments from @ypc-faros are null/empty, indicating no review activity took place.",rejected,Rejected
38,PyAirbyte/pull/712,https://github.com/airbytehq/PyAirbyte/pull/712,MANAGEMENT,No review activity,Both reviewer comments are None,There are no substantive reviewer comments — both comments are null/empty with no critique provided.,rejected,Rejected
39,cal.com/pull/20691,https://github.com/calcom/cal.com/pull/20691,MANAGEMENT,No review activity,All three reviewer entries show 'None' — no substantive comments were made.,"There are no human reviewer comments with any substantive critique. All reviewer comment fields are empty (None), indicating no review activity took place.",rejected,Rejected
40,cal.com/pull/21949,https://github.com/calcom/cal.com/pull/21949,MANAGEMENT,No review activity,No reviewer comments provided (reviewer @ThyMinimalDev left no comments).,There are no human reviewer comments with substantive critique — the reviewer left no feedback at all.,rejected,Rejected
41,appsmith/pull/38957,https://github.com/appsmithorg/appsmith/pull/38957,MANAGEMENT,No review activity,All reviewer comments from @sondermanish are None (no substantive comments provided),"There are no substantive reviewer comments. All entries from the only reviewer (@sondermanish) are null/None, indicating no meaningful review activity took place.",rejected,Rejected
42,airbyte/pull/59648,https://github.com/airbytehq/airbyte/pull/59648,MANAGEMENT,No review activity,No reviewer comments present (both reviewers left no comments),There are no human reviewer comments on this PR — both reviewers left null/empty responses with no substantive critique.,rejected,Rejected
43,nearcore/pull/13213,https://github.com/near/nearcore/pull/13213,MANAGEMENT,No review activity,All three reviewer comments from @nagisa are None (no substantive content).,"There are no substantive reviewer comments — all comments are empty/null, indicating no meaningful review activity was performed.",rejected,Rejected
44,BentoML/pull/5239,https://github.com/bentoml/BentoML/pull/5239,QUALITY ; REFACTORING ; INTEGRATION,Code smell ; Refactoring correctness ; Build failure,"Don't define merger as a dict, but use the `deep_merge` function directly. Also fix all usages of merger. | Don't define merger as a dict, but use the `deep_merge` function directly. Also fix all usages of merger. Take care of the CI failures | Take care of the CI failures","The reviewer is pointing out poor design in the refactored code — defining merger as a dict instead of using the function directly is a code smell that should be addressed. | The reviewer identifies that the refactoring was not done correctly — the replacement for the deepmerge dependency was implemented incorrectly (as a dict instead of a function), and CI failures indica | The reviewer explicitly mentions CI failures that need to be resolved, indicating a build/integration problem introduced by the refactoring.",rejected,Rejected
45,app-monorepo/pull/6796,https://github.com/OneKeyHQ/app-monorepo/pull/6796,MANAGEMENT,No review activity,No reviewer comments from @limichange or @originalix,There are no human reviewer comments provided — both reviewers left no substantive feedback.,rejected,Rejected
46,app-monorepo/pull/6800,https://github.com/OneKeyHQ/app-monorepo/pull/6800,MANAGEMENT,No review activity,,"The only reviewer comment is None, indicating no substantive critique or review activity was provided.",rejected,Rejected
47,box-ui-elements/pull/3954,https://github.com/box/box-ui-elements/pull/3954,MANAGEMENT,No review activity,All reviewer comments are None,"There are no substantive reviewer comments — all comments from @tjuanitas are null/empty, indicating no actual review activity took place.",rejected,Rejected
48,OpenCut/pull/479,https://github.com/OpenCut-app/OpenCut/pull/479,QUALITY ; QUALITY ; OBJECTIVE ; OBJECTIVE ; QUALITY ; QUALITY,Coding convention ; Code smell ; Unclear goal ; Scope change ; Coding convention ; Coding convention,"use es6 man, still stuck in require | remove the log | Why skip auth for desktop? | We can remove this script since the editor is fixed | i prefer react icon | only english would be great","Reviewer requests using ES6 import syntax instead of require, indicating a coding convention preference for modern JavaScript standards. | Reviewer identifies debug/console logs that should be removed, which is a code smell indicating leftover debugging code. | Reviewer questions the rationale behind skipping authentication for desktop, indicating unclear purpose or goal of this change. | Reviewer suggests removing unnecessary code since the underlying issue has been resolved, indicating scope adjustment. | Reviewer expresses preference for using React icons library, indicating a project coding convention or standard. | Reviewer requests English-only content in the code, indicating a coding convention for maintaining consistent language in the codebase.",rejected,Rejected
49,dash/pull/334,https://github.com/DashCoreAutoGuix/dash/pull/334,REFACTORING ; OBJECTIVE,Refactoring co-occurrence with changes ; Scope change,"these are extra changes we should not do. This removes the local variable to a member variable, but upstream didn't do that in this PR | these are extra changes we should not do. This removes the local variable to a member variable, but upstream didn't do that in this PR","The reviewer is identifying that additional refactoring changes (converting local variable to member variable) were included in this PR that were not part of the original upstream changes. This concer | The reviewer is flagging that the PR includes changes beyond the intended scope of the upstream merge, specifically modifications that were not part of the original Bitcoin Core PR being merged.",rejected,Rejected
50,dash/pull/157,https://github.com/DashCoreAutoGuix/dash/pull/157,MANAGEMENT,No review activity,Test comment to see if we detect comments,"The only reviewer comment is a meta-comment about testing the system rather than substantive feedback on the PR content, quality, refactoring approach, or any technical concerns. This does not constit",rejected,Rejected
51,weaver/pull/6,https://github.com/opentelemetrybot/weaver/pull/6,OBJECTIVE ; INTEGRATION,Scope change ; Configuration issue,"revert changes to this file | change the root-level permissions block to

```
permissions:
  contents: read
```","The reviewer is requesting that certain changes be reverted from multiple files, indicating that those modifications are outside the intended scope of the pull request. | The reviewer is providing specific guidance on how to correctly configure the GitHub workflow permissions block, addressing a configuration concern in the workflow files.",rejected,Rejected
52,scraps/pull/106,https://github.com/boykush/scraps/pull/106,QUALITY ; OBJECTIVE,Internal quality attribute ; Unknown benefit,Please provide links() as a simple method without using OnceCell. | Please provide links() as a simple method without using OnceCell.,"The reviewer is requesting a change to the internal implementation approach, specifically asking to remove OnceCell and use a simpler method implementation. This relates to internal quality attributes | The reviewer is questioning the benefit of using OnceCell for lazy evaluation, suggesting that a simpler approach would be preferable. This implies the added complexity of OnceCell may not provide suf",rejected,Rejected
53,capture-app/pull/4065,https://github.com/dhis2/capture-app/pull/4065,REFACTORING ; QUALITY,Refactoring correctness ; Coding convention,Could you rollback this change? | Let's use the `in` operator instead. For example: `'key' in rule`,"Reviewer is requesting reversal of a specific change, indicating the refactoring implementation may not be correct or appropriate. | Reviewer is suggesting a specific TypeScript/JavaScript coding practice (using the 'in' operator), which relates to following proper coding conventions for the language.",rejected,Rejected
54,roar-firekit/pull/178,https://github.com/yeatmanlab/roar-firekit/pull/178,QUALITY ; QUALITY ; QUALITY ; QUALITY ; QUALITY ; QUALITY,Code smell ; Design pattern ; Design pattern ; Coding convention ; Coding convention ; Design pattern,"`offlineEnabled`, `offlineTasks`, and `offlineAdministrations` is cruft from a previously attempted | `onFirestore` is very specific to a backend. Make this field more backend agnostic. The intention is | `DocumentData` is a Firestore specific data type. This model should be backend agnostic. | Please remove the prefix `I` from `IUser`, `IUserInfo`, `IUserUpdateInput`, and so on. | This could simply be named `create`. | A `DocumentReference` is a Firestore specific data type. This should be backend agnostic.","Reviewer identifies dead code or unnecessary remnants from previous implementation attempts that should be removed. | Reviewer requests architectural improvement to make the design backend-agnostic, which relates to proper abstraction and design pattern usage. | Reviewer points out tight coupling to a specific backend implementation, requesting more abstract design to follow dependency inversion principle. | Reviewer requests adherence to naming conventions by removing Hungarian notation-style interface prefixes. | Reviewer suggests simplifying method naming to follow clearer naming conventions. | Reviewer identifies another instance of backend-specific type usage that violates abstraction principles and should use backend-agnostic interfaces.",rejected,Rejected
55,openmind/pull/663,https://github.com/ohhmm/openmind/pull/663,OBJECTIVE,Unclear goal,Why?,"The reviewer is questioning the purpose and rationale behind the refactoring to move SumOrderComparator into separate files, indicating the goal of this change is not clear to them.",rejected,Rejected
56,capture-app/pull/4038,https://github.com/dhis2/capture-app/pull/4038,QUALITY ; QUALITY ; REFACTORING ; REFACTORING ; REFACTORING ; REFACTORING ; REFACTORING,Coding convention ; Coding convention ; Behavior preservation ; Behavior preservation ; Behavior preservation ; Behavior preservation ; Refactoring correctness,"There is an eslint rule that will complain that you're importing relative files before absolute. | Let's use type instead of interface unless explicitly specified. | Same here, you have broken this file. There's lots of functionality that is just removed from this f | You have removed crucial functionality here. In these cases where typescript complains and you're ou | You have removed a lot of crucial infrastructure here. | You have removed crucial infrastructure here. | You seem to have altered some crucial infrastructure here. I'm not sure where this came from, but ca","Reviewer points out violation of import ordering convention enforced by eslint rules. | Reviewer requests adherence to TypeScript coding convention regarding type vs interface usage. | Reviewer indicates that refactoring has removed functionality, breaking behavior preservation. | Reviewer identifies removal of crucial functionality during TypeScript conversion, violating behavior preservation. | Reviewer notes that critical infrastructure was removed during refactoring, breaking behavior preservation. | Reviewer identifies removal of essential infrastructure code during the TypeScript refactoring. | Reviewer questions the correctness of alterations to critical infrastructure code during refactoring.",rejected,Rejected
57,eval-track/pull/19,https://github.com/tied-inc/eval-track/pull/19,INTEGRATION ; QUALITY ; REFACTORING ; REFACTORING ; QUALITY ; QUALITY,Merge conflict ; Code smell ; Refactoring correctness ; Refactoring correctness ; Design pattern ; Internal quality attribute,"This file was out-of-dated, please rebase. | could you remove this file? This isn't good for our purpose so far. | maybe, this doesn't work | Is this function works? I seems 

```python 
from core.session import with_session
```

is appropriate | please use dependency injection instead of initializing here | could you add domain-oriented method to trace store class. This code makes both client and db high-dependent","Reviewer identified that the file is out of date and requires rebasing to resolve integration issues. | Reviewer identified code that doesn't serve the intended purpose and should be removed, indicating a code smell issue. | Reviewer expressed concern about whether the refactored code functions correctly. | Reviewer questioned if the function works correctly and suggested the appropriate import statement for proper functionality. | Reviewer requested the use of dependency injection design pattern instead of direct initialization. | Reviewer identified tight coupling between components and requested domain-oriented methods to improve internal quality attributes like cohesion and coupling.",rejected,Rejected
58,editor/pull/1905,https://github.com/taiga-family/editor/pull/1905,MANAGEMENT,No review activity,@copilot drop any comments here,"All reviewer comments are directed at an automated tool (Copilot) rather than providing substantive human review feedback. No human reviewer provided actual critique, suggestions, or evaluation of the",rejected,Rejected
59,solr/pull/10,https://github.com/dsmiley/solr/pull/10,QUALITY ; QUALITY ; OBJECTIVE ; OBJECTIVE,Coding convention ; Design pattern ; Scope change ; Unclear goal,"@copilot don't put a _bytes suffix on this. Prometheus will report it with that automatically. | @copilot I don't want this class to hard-code the ""solr_core_executor_"" prefix; I want this to be a parameter/field of the class that must be passed i | @copilot this is used for `newSearcherTimer` and `newSearcherWarmupTimer`. Lets eliminate this and instead for those 2 timers, create separate longHi | @dsmiley: @mlbiscoc if we standardize on disk/index sizes in megabytes, should download speed be MB/sec? (I'm on the fence)","Reviewer is enforcing naming conventions for metrics to comply with automated tooling expectations (Prometheus conventions). | Reviewer is requesting a design change to avoid hard-coding values and make the class more configurable and reusable through parameterization. | Reviewer is requesting changes beyond the original refactoring scope by suggesting elimination of existing functionality and creation of separate implementations. | Reviewer is uncertain about the consistency of units across related metrics, questioning whether the refactoring goal extends to this area.",rejected,Rejected
60,Scalar.Game/pull/24,https://github.com/sbryden/Scalar.Game/pull/24,OBJECTIVE,Scope change,The continue / quit / replay controls dont need to be included as they are not gameplay.,"The reviewer is requesting a change to the scope of what should be included in the menu screen, specifically excluding non-gameplay controls (continue/quit/replay) from the keybinds information being ",rejected,Rejected
61,template-api-python/pull/17,https://github.com/EndToEndLabCR/template-api-python/pull/17,QUALITY ; OBJECTIVE,Design pattern ; Feature support,"Is it possible to handle the exceptions in the `presentation` layer in the user_routes file ? In the future I will add more endpoints, so, it will be | Is it possible to handle the exceptions in the `presentation` layer in the user_routes file ? In the future I will add more endpoints, so, it will be","The reviewer is questioning the architectural design decision about where exception handling should occur, suggesting a layered architecture pattern where exceptions should be handled at the presentat | The reviewer is concerned about how the current implementation will support future feature additions (more endpoints), suggesting the design should accommodate anticipated growth and reusability.",rejected,Rejected
62,cal.diy/pull/23396,https://github.com/calcom/cal.diy/pull/23396,OBJECTIVE ; INTEGRATION,Potential side effect ; Configuration issue,🚨 This breaks the API if anyone is using it. | 🚨 We're creating a hard dependency here on jsdelivr.net,"Reviewer identifies that the refactoring will break existing API usage, indicating unintended consequences of the change. | Reviewer raises concern about introducing an external dependency on a CDN service, which affects the system's configuration and reliability.",rejected,Rejected
63,docs/pull/277,https://github.com/agentuity/docs/pull/277,QUALITY ; OBJECTIVE,Coding convention ; Potential side effect,remove instead of comment the line | we didn't have this before... i'm worried this will break cloudflare worker,"Reviewer is requesting adherence to code style conventions by removing commented-out code rather than leaving it in the codebase. | Reviewer expresses concern about unintended consequences of the changes, specifically potential breakage of the Cloudflare worker integration.",rejected,Rejected
64,modal-client/pull/3602,https://github.com/modal-labs/modal-client/pull/3602,OBJECTIVE,Unclear goal,"This is fine, users should not be instantiating this class.","The reviewer is clarifying the intended usage scope and design intention of the class, indicating that direct user instantiation is not the goal of this implementation.",rejected,Rejected
65,convex-test/pull/59,https://github.com/get-convex/convex-test/pull/59,QUALITY ; OBJECTIVE ; OBJECTIVE,Code smell ; Unknown benefit ; Scope change,"this looks duplicative with other code in this file. how might we share more code here? | I don't think this query adds much value | ctx.runMutation does **not** support an inline function in regular convex, so it doesn't need to work here and we shouldn't document / encourage it.","Reviewer identifies code duplication, a common code smell, and suggests refactoring to share code. | Reviewer questions the value and benefit of the added query functionality. | Reviewer suggests limiting scope to match the behavior of the regular Convex API, indicating the PR extends beyond what should be supported.",rejected,Rejected
66,Qwiq/pull/30,https://github.com/rjmurillo/Qwiq/pull/30,QUALITY ; INTEGRATION ; QUALITY ; INTEGRATION ; QUALITY ; TESTING ; QUALITY ; OBJECTIVE ; QUALITY ; QUALITY,Coding convention ; Configuration issue ; Code smell ; Configuration issue ; Code smell ; Absence of result ; Code smell ; Domain constraint ; Internal quality attribute ; Coding convention,"use `global-json-file: ./global.json` instead of `dotnet-version`; this ensures we're always getting | nbgv is now part of the tool chain. we should have a dotnet tool restore step here | the filter can be extracted to an environment variable and reused, so it's consistent between the tw | we can make sure things work consistently on CI. Add `/p:Deterministic=true /p:UseSharedCompilation= | The test can be cleaned up using a `test.runsettings` file. | Add a step to upload binlogs | DRY this out. The paths are divergent only in the slightest | The underlying TFS SDK (v15) only supports net472 (maybe even net462) and netstandard2.0 (possibly, | The JetBrains annotations should be removed and replaced with .NET SDK and language specific items, | SDKs no longer use nuspec files; migrate this as well",Reviewer suggests following the convention of using global.json for version management to ensure consistency. | Reviewer identifies missing configuration step for tool restoration in the CI workflow. | Reviewer points out code duplication that should be refactored to use environment variables for better maintainability. | Reviewer recommends adding build properties to ensure deterministic and consistent CI builds. | Reviewer suggests refactoring test configuration by extracting settings to a dedicated file for better organization. | Reviewer requests addition of artifact upload for build logs to capture test/build results. | Reviewer identifies violation of DRY principle where nearly identical paths should be consolidated. | Reviewer points out framework compatibility constraints imposed by the TFS SDK dependency. | Reviewer recommends replacing third-party annotations with native framework features for better maintainability. | Reviewer identifies outdated packaging approach that should be migrated to modern SDK conventions.,rejected,Rejected
67,trakt_mcpserver/pull/13,https://github.com/wwiens/trakt_mcpserver/pull/13,MANAGEMENT,No review activity,happy if local checks pass,"The reviewer provided only a brief conditional approval without any substantive critique of the code changes, refactoring approach, error handling architecture, or any quality concerns. This represent",rejected,Rejected
68,vana-personal-server/pull/30,https://github.com/vana-com/vana-personal-server/pull/30,OBJECTIVE ; QUALITY ; OBJECTIVE,Potential side effect ; Coding convention ; Feature support,"Just flagging that while skipping `RLIMIT_AS` for Node.js processes is a pragmatic choice to avoid V8's virtual memory allocation issues, it removes a | Nit: the `list_artifacts` endpoint requires the client to sign a JSON payload containing `action: 'list'`, while the `download_artifact` endpoint requ | We can consider using this `operation_id` to tag the Replicate prediction. This would make it esier to trace a personal server operation directly to","Reviewer is raising a concern about potential security or resource management implications of removing the RLIMIT_AS restriction for Node.js processes. | Reviewer points out an inconsistency in how different endpoints handle authentication/signing, suggesting a coding convention or API design issue. | Reviewer suggests an enhancement to support better traceability by using operation_id for tagging predictions, which is a feature support suggestion.",rejected,Rejected
69,spark/pull/52173,https://github.com/apache/spark/pull/52173,QUALITY ; QUALITY ; REFACTORING ; REFACTORING ; OBJECTIVE ; OBJECTIVE ; QUALITY ; REFACTORING,Code smell ; Lack of documentation ; Refactoring correctness ; Refactoring correctness ; Unclear goal ; Unknown benefit ; Coding convention ; Refactoring correctness,"ah so it's already dead code before this PR. | We don't need to leave this code comment in the codebase. | This is neat, but we need to check if it's string type somewhere during analysis | we should check it in the pattern match itself
```
case e @ ExecuteImmediateQuery(queryParam, args | How is it different from `targetVariables.forall(_.resolved)`? | I don't get it. Why can't we construct resolved `SetVariable` directly with `VariableReference`? We | Seem it's always replaced during analysis, we can probably call it `UnresolvedExecuteImmediate`, as | We will never hit it.","Reviewer identified dead code that exists in the codebase, which is a code quality issue. | Reviewer suggests removing unnecessary documentation/comments from the code. | Reviewer points out missing type validation that needs to be added for correctness. | Reviewer suggests moving validation logic to improve correctness of the refactoring. | Reviewer questions the purpose/difference of the implementation approach. | Reviewer doesn't understand the benefit or reasoning behind the chosen implementation approach. | Reviewer suggests following naming conventions for unresolved AST nodes in Spark. | Reviewer identifies unreachable code path, indicating a correctness issue in the refactoring.",rejected,Rejected
70,Comfy-PR/pull/78,https://github.com/Comfy-Org/Comfy-PR/pull/78,MANAGEMENT,No review activity,"Wow
what","All reviewer comments are extremely brief reactions with no substantive technical critique, questions, or feedback about the refactoring. These comments do not provide any meaningful review of the cod",rejected,Rejected
