#,PR,PR_Link,Main_Category,Subcategory,Evidence,Explanation,Label,Status
30,openops/pull/674,https://github.com/openops-cloud/openops/pull/674,OBJECTIVE,Potential side effect,"Looks good to me, but let's pay attention to caching","The reviewer raises a concern about potential side effects on caching behavior resulting from centralizing React Query keys, suggesting that the refactoring might inadvertently affect how query cachin",accepted,Merged
31,eo/pull/4317,https://github.com/objectionary/eo/pull/4317,MANAGEMENT,No review activity,No reviewer comments provided.,"There are no human reviewer comments on this PR, only the author's description.",accepted,Merged
32,polkadot-staking-dashboard/pull/2824,https://github.com/polkadot-cloud/polkadot-staking-dashboard/pull/2824,MANAGEMENT,No review activity,No reviewer comments present,There are no human reviewer comments on this PR — the only reviewer listed (@rossbulat) provided no comments.,accepted,Merged
33,pitstop/pull/183,https://github.com/EdwinVW/pitstop/pull/183,MANAGEMENT,No review activity,Successfully tested.,"The only reviewer comment is a brief approval/confirmation with no substantive critique, refactoring feedback, or technical concerns raised.",accepted,Merged
34,docusaurus-search-local/pull/530,https://github.com/easyops-cn/docusaurus-search-local/pull/530,MANAGEMENT,No review activity,@weareoutman: None,There are no substantive reviewer comments — the reviewer left no feedback at all.,accepted,Merged
35,gh-gei/pull/1386,https://github.com/github/gh-gei/pull/1386,MANAGEMENT,No review activity,"All three reviewers (@dylan-smith, @dylan-smith, @begonaguereca) provided no comments.","There are no substantive reviewer comments — all reviewer comment fields are None, indicating no review activity took place.",accepted,Merged
36,yutto/pull/539,https://github.com/yutto-dev/yutto/pull/539,REFACTORING ; QUALITY ; INTEGRATION ; TESTING,Refactoring correctness ; Lack of documentation ; Build failure ; Lack of coverage,麻烦进一步优化一下其他文件结构的命名、函数的命名，不仅限于刚刚说的那些，那些只是举例子而已 | 麻烦同步更新下 `CONTRIBUTING.md` | 麻烦根据 CI 报错修复相关问题 | 麻烦根据 CI 报错再解决下，明显单测里很多 import 是有问题的，另外注意自己根据 lint 方式验证下，具体验证方式可以参考 `CONTRIBUTING.md`，避免每次都需要跑一下 CI 才能验证,"The reviewer asks for further improvements to file structure and function naming beyond what was already done, indicating the refactoring was incomplete or incorrect in scope. | The reviewer requests that the CONTRIBUTING.md documentation be updated to reflect the changes made in the refactoring. | The reviewer points out CI failures that need to be fixed. | The reviewer highlights that many imports in unit tests are broken due to the refactoring, indicating test quality and correctness issues introduced by the rename/restructure.",accepted,Merged
37,em/pull/3027,https://github.com/cybersemics/em/pull/3027,MANAGEMENT,No review activity,All three reviewer comments from @raineorshine are None (no substantive content).,There are no human reviewer comments with any substantive critique. All reviewer entries are empty/null.,accepted,Merged
38,https://github.com/mlflow/mlflow/pull/15929,https://github.com/mlflow/mlflow/pull/15929,MANAGEMENT,No review activity,Classification failed after retries.,API returned empty response after 3 attempts.,accepted,
39,HAsmartirrigation/pull/585,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/585,MANAGEMENT,No review activity,No reviewer comments found (both reviewers have None comments),"There are no human reviewer comments on this PR — both reviewer entries have null/None content, indicating no review activity occurred.",accepted,Merged
40,memfs/pull/1124,https://github.com/streamich/memfs/pull/1124,MANAGEMENT,No review activity,LGTM,The only reviewer comment is a simple approval with no substantive critique or feedback.,accepted,Merged
41,MAUI-Designer/pull/51,https://github.com/GMPrakhar/MAUI-Designer/pull/51,MANAGEMENT,No review activity,No reviewer comments present,"There are no human reviewer comments on this PR. The only attributed comment is from the PR author (@GMPrakhar) with no content, and no other reviewers have provided feedback.",accepted,Merged
42,aspire/pull/9849,https://github.com/dotnet/aspire/pull/9849,MANAGEMENT,No review activity,@davidfowl: None,The reviewer left no substantive comment — there is no human reviewer feedback to classify.,accepted,Merged
43,rqlite/pull/2118,https://github.com/rqlite/rqlite/pull/2118,MANAGEMENT,No review activity,No reviewer comments present (all reviewer comment fields are None),"There are no human reviewer comments on this pull request, only null/empty entries.",accepted,Merged
44,celestia-core/pull/2261,https://github.com/celestiaorg/celestia-core/pull/2261,REFACTORING ; REFACTORING,Refactoring correctness ; Behavior preservation,"No, refactor the reactor creation to similar to this: ```go func NewReactor( self p2p.ID, config Config, options ...ReactorOption, ) *Reactor { ctx, c | I was wrong, no need to do all this, revert to the previous version you did","The reviewer is pointing out that the refactoring approach for reactor creation is incorrect and suggests a specific alternative pattern, indicating a concern about the correctness of the refactoring  | The reviewer retracts their earlier suggestion and asks to revert to a previous version, implying that the proposed refactoring changes were unnecessary and that the prior behavior/implementation shou",accepted,Merged
45,openops/pull/700,https://github.com/openops-cloud/openops/pull/700,MANAGEMENT,No review activity,No reviewer comments present,"There are no human reviewer comments on this PR, only a reviewer assigned (@rSnapkoOpenOps) with no substantive feedback provided.",accepted,Merged
46,vscode-copilot-chat/pull/365,https://github.com/microsoft/vscode-copilot-chat/pull/365,MANAGEMENT,No review activity,,There are no substantive reviewer comments — the only reviewer provided no comment content.,accepted,Merged
47,azure-sdk-for-java/pull/45797,https://github.com/Azure/azure-sdk-for-java/pull/45797,MANAGEMENT,No review activity,"All three reviewers (@samvaity, @srnagar, @vcolin7) left no comments.","There are no human reviewer comments on this PR, only empty/null responses from all assigned reviewers.",accepted,Merged
48,kanister/pull/3506,https://github.com/kanisterio/kanister/pull/3506,MANAGEMENT,No review activity,All reviewer comments are None — no substantive critique provided by any reviewer.,"There are no human reviewer comments with any substance. All comments from @veeam-denis and @hairyhum are null/empty, indicating no review activity was performed.",accepted,Merged
49,pulumi/pull/19622,https://github.com/pulumi/pulumi/pull/19622,TESTING,Poor test quality,Instead of `assert.` use `require.` for the tests.,"The reviewer is pointing out a testing convention issue, suggesting that `require.` should be used instead of `assert.` in the tests, indicating poor test quality in terms of proper assertion method u",accepted,Merged
50,lisa/pull/3816,https://github.com/microsoft/lisa/pull/3816,MANAGEMENT,No review activity,All reviewer comments are None,"There are no substantive reviewer comments — all entries are null/None, indicating no review activity was provided.",accepted,Merged
51,em/pull/3050,https://github.com/cybersemics/em/pull/3050,MANAGEMENT,No review activity,All four reviewer comments from @raineorshine are None,"There are no substantive reviewer comments — all reviewer entries are null/empty, indicating no review activity took place.",accepted,Merged
52,graphrag/pull/1944,https://github.com/microsoft/graphrag/pull/1944,MANAGEMENT,No review activity,@AlonsoGuevara: None,There are no substantive reviewer comments — the only reviewer left no comment at all.,accepted,Merged
53,valkey-glide/pull/4324,https://github.com/valkey-io/valkey-glide/pull/4324,MANAGEMENT,No review activity,@mo-amzn: None,There are no human reviewer comments with substantive critique.,accepted,Merged
54,genaiscript/pull/1788,https://github.com/microsoft/genaiscript/pull/1788,MANAGEMENT,No review activity,@pelikhan: None,There are no human reviewer comments — the only reviewer entry has no comment content.,accepted,Merged
55,celestia-app/pull/4980,https://github.com/celestiaorg/celestia-app/pull/4980,MANAGEMENT,No review activity,worth a try,"All reviewer comments are either simple approvals/endorsements ('worth a try', 'I like these') or null (None), with no substantive critique of the code or refactoring changes.",accepted,Merged
56,celestia-app/pull/4914,https://github.com/celestiaorg/celestia-app/pull/4914,INTEGRATION ; QUALITY,Build failure ; Coding convention,we need to fix the linter @copilot ... run golangci-lint Running [/home/runner/golangci-lint-2.1.2-linux-amd64/golangci-lint config path] | try to actually use golangci-lint instead of guessing what it wants. follow the errors that it give you,"The reviewer points out that the linter (golangci-lint) is failing as part of the CI/build process, indicating a build/integration failure that needs to be resolved. | The reviewer is directing the contributor to adhere to coding conventions enforced by golangci-lint rather than making arbitrary changes without following the linter's actual output.",accepted,Merged
57,hyprshell/pull/284,https://github.com/H3rmt/hyprshell/pull/284,MANAGEMENT,No review activity,@H3rmt: None,There are no human reviewer comments on this pull request.,accepted,Merged
58,graphrag/pull/1956,https://github.com/microsoft/graphrag/pull/1956,MANAGEMENT,No review activity,No reviewer comments from @jgbradley1 or @AlonsoGuevara,There are no human reviewer comments on this PR; both assigned reviewers left no substantive feedback.,accepted,Merged
59,specmatic/pull/1930,https://github.com/specmatic/specmatic/pull/1930,QUALITY,Coding convention,The datatype of all the newly added `example` fields should be `String?`,"The reviewer is pointing out that the newly added fields should follow a specific type convention (nullable String type `String?`), which relates to coding standards and conventions for type declarati",accepted,Merged
60,aspire/pull/10145,https://github.com/dotnet/aspire/pull/10145,MANAGEMENT,No review activity,All reviewer comments are None (no substantive comments from @captainsafia and @davidfowl),There are no human reviewer comments with any substantive critique. All reviewers left no comments.,accepted,Merged
61,HAsmartirrigation/pull/587,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/587,MANAGEMENT,No review activity,@jeroenterheerdt: None,There are no human reviewer comments on this PR.,accepted,Merged
62,Stock.Indicators/pull/1370,https://github.com/DaveSkender/Stock.Indicators/pull/1370,TESTING ; REFACTORING ; OBJECTIVE,Lack of coverage ; Refactoring correctness ; Scope change,"Ensure these all have unit test code coverage, and that they a... All catalog entries have corresponding tests for code coverage | You incorrectly thought 'The s-z/ directory has no catalog files (by design), so the cleanup focused on the remaining e-k/ and m-r/ directories.' ...  | Do a final pass to check for missing catalog entries or corresponding tests. Some indicators have up to three styles (series, stream, buffer) ... ther","The reviewer repeatedly emphasizes that all catalog entries must have corresponding unit test coverage, indicating a concern about insufficient test coverage. | The reviewer identifies that the refactoring was incomplete and incorrect — the PR author made a wrong assumption about which directories needed cleanup, and the reviewer verifies the correctness of t | The reviewer is flagging that the scope of the cleanup was not fully addressed — not all indicators (at least 80) were covered, and some have multiple style variants that need catalog entries, indicat",accepted,Merged
63,giselle/pull/965,https://github.com/giselles-ai/giselle/pull/965,MANAGEMENT,No review activity,Thank you! ♻️,"The only reviewer comment is a simple expression of thanks with an emoji, providing no substantive critique or feedback on the refactoring.",accepted,Merged
64,codex/pull/1601,https://github.com/openai/codex/pull/1601,MANAGEMENT,No review activity,Please address comments before merging!,All reviewer comments are null/None with no substantive critique. The one non-null comment is a generic process reminder without any specific technical feedback or classification-worthy content.,accepted,Merged
65,giselle/pull/1309,https://github.com/giselles-ai/giselle/pull/1309,MANAGEMENT,No review activity,Thank you! 🎨,"The only reviewer comment is a simple expression of appreciation with an emoji, containing no substantive critique or technical feedback.",accepted,Merged
66,llmgateway/pull/357,https://github.com/theopenco/llmgateway/pull/357,MANAGEMENT,No review activity,@smakosh: None,There are no substantive reviewer comments — the reviewer left no comment at all.,accepted,Merged
67,giselle/pull/1180,https://github.com/giselles-ai/giselle/pull/1180,OBJECTIVE ; REFACTORING,Bug fixing ; Behavior preservation,"It seems that the Text Node output cannot be referenced by the Text Generator Node. Please investigate the cause and fix it! | It seems that the Text Node output cannot be referenced by the Text Generator Node. Please investigate the cause and fix it! ... Upon further testing,","The reviewer identified a functional regression introduced by the refactoring — Text Node outputs can no longer be referenced by Text Generator Nodes, indicating a bug introduced during the refactorin | The reviewer is flagging that the refactoring broke existing behavior — node output referencing no longer works as before — which is a behavior preservation concern during refactoring.",accepted,Merged
68,aci/pull/431,https://github.com/aipotheosis-labs/aci/pull/431,MANAGEMENT,No review activity,lgtm,The only reviewer comment is a simple approval with no substantive critique.,accepted,Merged
69,js/pull/7148,https://github.com/thirdweb-dev/js/pull/7148,MANAGEMENT,No review activity,No reviewer comments provided,"There are no human reviewer comments on this PR, only a reviewer assignment with no substantive feedback.",accepted,Merged
70,self/pull/781,https://github.com/selfxyz/self/pull/781,MANAGEMENT,No review activity,No human reviewer comments found.,No human reviewers left any comments on this PR.,accepted,Merged
71,giselle/pull/1062,https://github.com/giselles-ai/giselle/pull/1062,MANAGEMENT,No review activity,Thank you! 👍,The only reviewer comment is a simple approval with no substantive critique.,accepted,Merged
72,giselle/pull/1310,https://github.com/giselles-ai/giselle/pull/1310,MANAGEMENT,No review activity,Thank you! 🎨,"The only reviewer comment is a simple expression of gratitude with an emoji, containing no substantive critique or feedback.",accepted,Merged
73,giselle/pull/895,https://github.com/giselles-ai/giselle/pull/895,MANAGEMENT,No review activity,Thank you! ♻️,The only reviewer comment is a simple approval/thanks with no substantive critique.,accepted,Merged
74,devtools/pull/1504,https://github.com/LayerZero-Labs/devtools/pull/1504,MANAGEMENT,No review activity,,There are no human reviewer comments with substantive critique.,accepted,Merged
75,giselle/pull/1020,https://github.com/giselles-ai/giselle/pull/1020,MANAGEMENT,No review activity,Thank you! 🛤️,"The only reviewer comment is a simple expression of gratitude with an emoji, containing no substantive critique or feedback.",accepted,Merged
76,Kiln/pull/355,https://github.com/Kiln-AI/Kiln/pull/355,MANAGEMENT,No review activity,No reviewer comments present (both reviewer comments are None),There are no human reviewer comments on this PR — both reviewer entries contain no substantive feedback.,accepted,Merged
77,herbie/pull/1255,https://github.com/herbie-fp/herbie/pull/1255,MANAGEMENT,No review activity,"Interesting, I wrote `histogram2D`, pretty surprising that LLM made it better","The reviewer comment is a casual observation/reaction with no substantive critique, code review feedback, or actionable suggestions about the refactoring.",accepted,Merged
78,Kiln/pull/358,https://github.com/Kiln-AI/Kiln/pull/358,MANAGEMENT,No review activity,No reviewer comments provided,There are no human reviewer comments on this PR — only the author's description exists.,accepted,Merged
79,self/pull/795,https://github.com/selfxyz/self/pull/795,MANAGEMENT,No review activity,No human reviewer comments found.,No human reviewers left any comments on this PR.,accepted,Merged
80,fiber/pull/3491,https://github.com/gofiber/fiber/pull/3491,MANAGEMENT,No review activity,,"The only reviewer (@ReneWerner87) left no substantive comment — no critique, no feedback, nothing recorded.",accepted,Merged
81,giselle/pull/1171,https://github.com/giselles-ai/giselle/pull/1171,MANAGEMENT,No review activity,Thank you! ♻️,"The only reviewer comment is a simple expression of gratitude with an emoji, containing no substantive critique or feedback.",accepted,Merged
82,maputnik/pull/1261,https://github.com/maplibre/maputnik/pull/1261,MANAGEMENT,No review activity,@HarelM: None,There are no substantive reviewer comments — the only reviewer left no comment at all.,accepted,Merged
83,giselle/pull/1035,https://github.com/giselles-ai/giselle/pull/1035,MANAGEMENT,No review activity,Thank you! ♻️,The only reviewer comment is a simple appreciation emoji with no substantive critique or feedback.,accepted,Merged
84,giselle/pull/886,https://github.com/giselles-ai/giselle/pull/886,MANAGEMENT,No review activity,Thank you! ♻️,The only reviewer comment is a simple approval with an emoji and no substantive critique.,accepted,Merged
85,mcp-go/pull/309,https://github.com/mark3labs/mcp-go/pull/309,OBJECTIVE,Scope change,I'm not sure if we need to add this to the readme since it is already documented here: https://github.com/mark3labs/mcp-go/blob/main/server/internal/g,"The reviewer questions whether the change is necessary given that the documentation already exists elsewhere, suggesting the scope of this PR may be redundant or misplaced.",accepted,Merged
86,js/pull/7156,https://github.com/thirdweb-dev/js/pull/7156,MANAGEMENT,No review activity,@joaquim-verges: None,The reviewer left no comments — there are no human reviewer comments to classify.,accepted,Merged
87,komodo-wallet/pull/2874,https://github.com/KomodoPlatform/komodo-wallet/pull/2874,MANAGEMENT,No review activity,No human reviewer comments found.,No human reviewers left any comments on this PR.,accepted,Merged
88,operaton/pull/911,https://github.com/operaton/operaton/pull/911,MANAGEMENT,No review activity,"No reviewer comments provided (None, None)","There are no substantive reviewer comments. Both reviewer entries are null/empty, indicating no review activity was performed.",accepted,Merged
89,giselle/pull/1360,https://github.com/giselles-ai/giselle/pull/1360,MANAGEMENT,No review activity,Thank you! 👍,"The only reviewer comment is a simple expression of gratitude with an emoji, containing no substantive critique or feedback.",accepted,Merged
90,giselle/pull/1348,https://github.com/giselles-ai/giselle/pull/1348,MANAGEMENT,No review activity,Thank you! 🆙,"The only reviewer comment is a simple expression of gratitude with an emoji, providing no substantive critique or feedback.",accepted,Merged
91,giselle/pull/1350,https://github.com/giselles-ai/giselle/pull/1350,MANAGEMENT,No review activity,Thank you! 🆙,The only reviewer comment is a simple approval/praise with no substantive critique or feedback.,accepted,Merged
92,marin/pull/1440,https://github.com/marin-community/marin/pull/1440,MANAGEMENT,No review activity,Nice!,The only reviewer comment is a simple expression of approval with no substantive critique or feedback.,accepted,Merged
93,kubetail/pull/381,https://github.com/kubetail-org/kubetail/pull/381,MANAGEMENT,No review activity,"/lgtm

it seems more OOP then you use to be @amorey hehe","The reviewer gave a simple approval (/lgtm) with only a light casual remark about coding style, providing no substantive critique or actionable feedback.",accepted,Merged
94,giselle/pull/1185,https://github.com/giselles-ai/giselle/pull/1185,MANAGEMENT,No review activity,Thank you! ♻️,The only reviewer comment is a simple approval/praise with no substantive critique or feedback.,accepted,Merged
95,hmis/pull/12989,https://github.com/hmislk/hmis/pull/12989,MANAGEMENT,No review activity,No human reviewer comments found.,No human reviewers left any comments on this PR.,accepted,Merged
96,gluesql/pull/1655,https://github.com/gluesql/gluesql/pull/1655,MANAGEMENT,No review activity,No reviewer comments provided,"There are no human reviewer comments on this PR, only the reviewer's name with no substantive critique.",accepted,Merged
97,gitbook/pull/3394,https://github.com/GitbookIO/gitbook/pull/3394,MANAGEMENT,No review activity,Both reviewers (@SamyPesse) provided no comments.,"There are no substantive reviewer comments — both review entries are null/empty, indicating no review activity was performed.",accepted,Merged
98,awesome-digital-history/pull/235,https://github.com/maehr/awesome-digital-history/pull/235,MANAGEMENT,No review activity,@mtwente: None,There are no human reviewer comments with substantive critique; the reviewer left no comment.,accepted,Merged
99,giselle/pull/1316,https://github.com/giselles-ai/giselle/pull/1316,MANAGEMENT,No review activity,Thank you! ♻️,"The only reviewer comment is a simple acknowledgment with an emoji, providing no substantive critique or feedback.",accepted,Merged
100,giselle/pull/1322,https://github.com/giselles-ai/giselle/pull/1322,MANAGEMENT,No review activity,Thank you! ♻️,The only reviewer comment is a simple approval/praise with no substantive critique or feedback.,accepted,Merged
101,operaton/pull/891,https://github.com/operaton/operaton/pull/891,MANAGEMENT,No review activity,,There are no substantive reviewer comments — the reviewer left no feedback at all.,accepted,Merged
102,giselle/pull/976,https://github.com/giselles-ai/giselle/pull/976,MANAGEMENT,No review activity,Thank you! ♻️,"The only reviewer comment is a simple expression of gratitude with an emoji, providing no substantive critique or feedback.",accepted,Merged
103,browser-extension/pull/1944,https://github.com/rainbow-me/browser-extension/pull/1944,MANAGEMENT,No review activity,,"The only reviewer left no comment (None), indicating no substantive review activity.",accepted,Merged
104,core/pull/2364,https://github.com/moonbitlang/core/pull/2364,MANAGEMENT,No review activity,No human reviewer comments found.,No human reviewers left any comments on this PR.,accepted,Merged
105,komodo-wallet/pull/3010,https://github.com/KomodoPlatform/komodo-wallet/pull/3010,MANAGEMENT,No review activity,@CharlVS: None,There are no human reviewer comments — the only reviewer left no comment at all.,accepted,Merged
106,cartography/pull/1697,https://github.com/cartography-cncf/cartography/pull/1697,MANAGEMENT,No review activity,Looks great. Left couple nits,"The only substantive comment is 'Looks great. Left couple nits' with no actual nit details provided in the reviewer comments, and other reviewers left no comments (None). There is no substantive criti",accepted,Merged
107,cartography/pull/1620,https://github.com/cartography-cncf/cartography/pull/1620,QUALITY ; QUALITY ; REFACTORING,Internal quality attribute ; Lack of documentation ; Refactoring correctness,"There's no relationship between `ECSCluster` and `ECSContainer`, even though there is one between `ECSCluster` and `ECSContainer` | I was a bit confused by the schema, so I made a Mermaid diagram to clarify things. | There's no relationship between `ECSCluster` and `ECSContainer`, even though there is one between `ECSCluster` and `ECSContainer`","The reviewer identifies a missing relationship in the data model schema, pointing to an incomplete or incorrect structural design in the refactored ECS module. | The reviewer found the schema unclear enough to warrant creating an external diagram, indicating insufficient documentation or clarity in the refactored module's design. | The missing relationship between entities suggests the refactoring to the new data model is incomplete or incorrect, as an expected connection between nodes is absent.",accepted,Merged
108,cartography/pull/1619,https://github.com/cartography-cncf/cartography/pull/1619,REFACTORING,Refactoring correctness,GTG after LIST_SQS_QUEUE_URLS removed,"The reviewer conditionally approves the refactoring only after a specific element (LIST_SQS_QUEUE_URLS) is removed, indicating a correctness concern with the refactoring implementation as submitted.",accepted,Merged
